Name,Crossing Number,Jones,Volume,Meridian Length,Mosaic/Tile-Number
3_1,3,t+ t^3-t^4,0,Not Hyperbolic,{ 4 ; 12 }
9_26,9,t^(-7)-3*t^(-6)+ 5*t^(-5)-7*t^(-4)+ 8*t^(-3)-8*t^(-2)+ 7*t^(-1)-4+ 3*t-t^2,10.5958405149,1.257366186,{ 6 ; 24 }
9_27,9,t^(-4)-3*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 9-8*t+ 7*t^2-5*t^3+ 3*t^4-t^5,10.9999809582,1.253057048,{ 6 ; 24 }
9_28,9,-t^(-2)+ 3*t^(-1)-5+ 8*t-8*t^2+ 9*t^3-8*t^4+ 5*t^5-3*t^6+ t^7,11.5631770162,1.312281908,{ 6 ; 27 }
9_29,9,-t^(-6)+ 3*t^(-5)-6*t^(-4)+ 8*t^(-3)-8*t^(-2)+ 9*t^(-1)-7+ 5*t-3*t^2+ t^3,12.2058561651,1.495815578,{ 7 ; 29 }
9_30,9,-t^(-5)+ 3*t^(-4)-5*t^(-3)+ 8*t^(-2)-9*t^(-1)+ 9-8*t+ 6*t^2-3*t^3+ t^4,11.9545269682,1.289552128,{ 7 ; 29 }
9_31,9,-t^(-2)+ 3*t^(-1)-5+ 8*t-9*t^2+ 10*t^3-8*t^4+ 6*t^5-4*t^6+ t^7,11.6863122078,1.260230911,{ 6 ; 24 }
9_32,9,t^(-7)-3*t^(-6)+ 6*t^(-5)-9*t^(-4)+ 10*t^(-3)-10*t^(-2)+ 9*t^(-1)-6+ 4*t-t^2,13.0998998458,1.31259178,{ 7 ; 29 }
9_33,9,-t^(-5)+ 3*t^(-4)-6*t^(-3)+ 9*t^(-2)-10*t^(-1)+ 11-9*t+ 7*t^2-4*t^3+ t^4,13.2804556362,1.315237109,{ 7 ; 29 }
9_34,9,-t^(-5)+ 4*t^(-4)-7*t^(-3)+ 10*t^(-2)-12*t^(-1)+ 12-10*t^1+ 8*t^2-4*t^3+ t^4,14.3445813877,1.437422965,{ 7 ; 29 }
9_35,9,t-2*t^2+ 3*t^3-4*t^4+ 5*t^5-3*t^6+ 4*t^7-3*t^8+ t^9-t^10,7.9405792477,1.664119093,{ 6 ; 29 }
9_36,9,-t^(-9)+ 2*t^(-8)-4*t^(-7)+ 6*t^(-6)-6*t^(-5)+ 6*t^(-4)-5*t^(-3)+ 4*t^(-2)-2*t^(-1)+ 1,9.8845786531,1.303495634,{ 7 ; 29 }
9_37,9,t^(-4)-2*t^(-3)+ 5*t^(-2)-7*t^(-1)+ 7-8*t+ 7*t^2-4*t^3+ 3*t^4-t^5,10.9894495925,1.334147304,{ 6 ; 27 }
9_38,9,t^2-3*t^3+ 7*t^4-8*t^5+ 10*t^6-10*t^7+ 8*t^8-6*t^9+ 3*t^10-t^11,12.9328587022,1.417582391,{ 7 ; 29 }
